event_date,year,event_type,sub_event,actor1,actor2,admin1,admin2,location,city,latitude,longitude,fatalities,notes,source
2021-11-08,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Один военнослужащий ДНР погиб и еще один ранен в результате обстрела с украинской стороны,UCDP GED v25.1
2021-11-11,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Slovianoserbsk raion,Sokilnyky village,Luhansk,48.746225,38.870126,1,"Военнослужащий ЛНР погиб в результате обстрела с украинской стороны, сообщили в республике",UCDP GED v25.1
2021-11-12,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Stanychno-Luhansk raion,Nyzhnoteple village,Luhansk,48.797222,39.350278,2,"Two Ukrainian soldiers killed by unknown device in Donbas - JFO HQ;51y.o. Vadym Fedoseyev was killed by a mine blast near  Nyzhnioteple, Luhansk Obl",UCDP GED v25.1
2021-11-19,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Slovianoserbsk raion,Prychepylivka village,Luhansk,48.757500,38.691667,1,Ukrainian soldier killed in Donbas;33y.o. Ubert Mrachkovsky killed in enemy shelling at Prychepylivka,UCDP GED v25.1
2021-11-26,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Marinka raion,Novomykhailivka village,Donetsk,47.853324,37.484174,1,"Ukrainian soldier killed in Donbas - JFO HQ;29y.o. Ali Naib Alkhasli killed by enemy sniper at Noivomykhailivka, Donetsk Obl on Nov 26, 2021.",UCDP GED v25.1
2021-11-27,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Ukrainian soldier reported killed in Donbas,UCDP GED v25.1
2021-11-28,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Slovianoserbsk raion,Slovianoserbsk town,Luhansk,48.696435,38.981781,1,Ополченец погиб при обстреле территории ЛНР со стороны ВСУ,UCDP GED v25.1
2021-12-01,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Volnovakha raion,Novotroitske town,Donetsk,47.717091,37.573761,1,"Ukrainian soldier reported killed in Donbas;22y.o. Valeriy Herovkin killed by enemy sniper near Novotroyitske, Donetsk Obl on Dec 1, 2021.",UCDP GED v25.1
2021-12-10,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Marinka raion,Trudovskaya village,Donetsk,47.943889,37.547778,1,"Один военный погиб после атаки беспилотника ВСУ, заявили в ДНР",UCDP GED v25.1
2021-12-11,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,2,"Обзор социально-гуманитарной ситуации, сложившейся на территории Донецкой Народной Республики вследствие военных действий в период с 11 по 17 декабря 2021 г.",UCDP GED v25.1
2021-12-16,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Marinka raion,Krasnohorivka town,Donetsk,48.006667,37.512778,1,Ukrainian soldier killed in Donbas;30y.o. Stanislav Zaporozhets killed by a sniper bullet near Krasnohorivka,UCDP GED v25.1
2021-12-19,2021,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Slovianoserbsk raion,Frunze town,Luhansk,48.671413,38.763354,1,Kiev forces shell Lugansk republic three times in 24 hours - agency;В ЛНР сообщили о гибели ополченца при обстреле ВС Украины,UCDP GED v25.1
2021-12-25,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities between 25 and 30 December 2021,UCDP GED v25.1
2021-12-31,2021,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Avdiivka city municipality,Avdiivka town,Donetsk,48.145278,37.745000,1,"Ukraine says its soldier killed in Donbas;Stanislav Bohuslavsky was killed by a sniper bullet near Avdiyivka, Donetsk Obl. on Dec 31, 2021.",UCDP GED v25.1
2022-01-01,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Soledar town,Donetsk,48.676254,38.098621,1,Dmitriyev Andrij,UCDP GED v25.1
2022-01-01,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Niu-York town,Donetsk,48.327260,37.843360,1,Tychyna Ihor Olehovych,UCDP GED v25.1
2022-01-03,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Soledar town,Donetsk,48.676254,38.098621,1,Katrukha Roman Hryhorovych,UCDP GED v25.1
2022-01-09,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Soledar town,Donetsk,48.676254,38.098621,1,Starovyerov Serhij,UCDP GED v25.1
2022-01-10,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Donetsk raion,Kruta Balka village,Donetsk,48.142984,37.825337,2,Suprun Illja Kostjantynovych;Petrenko Vitalij Ivanovych,UCDP GED v25.1
2022-01-10,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Yasynuvata raion,Kruta Balka village,Donetsk,48.142984,37.825337,2,Two Ukraine soldiers killed as tensions with Moscow soar;N/A,UCDP GED v25.1
2022-01-11,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Popasna raion,Novotoshkivske village,Luhansk,48.724788,38.632320,1,Ukrainian soldier killed on eve of Russia-NATO talks;Ukrainian soldier killed near Novotoshkivske - JFO HQ;Ukrainian soldier killed in Donbas,UCDP GED v25.1
2022-01-13,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Siversk town,Donetsk,48.871678,38.092445,1,Khomuk Ivan Ivanovych,UCDP GED v25.1
2022-01-13,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Soledar town,Donetsk,48.676254,38.098621,1,Hryshkovets' Volodymyr Vitalijovych,UCDP GED v25.1
2022-01-13,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Rovenky raion,Rovenky town,Luhansk,48.081892,39.371285,1,OSCE Special Monitoring Mission to Ukraine (SMM) Daily Report 8/2022 issued on 14 January 2022,UCDP GED v25.1
2022-01-14,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Popasna raion,Donetsky village,Luhansk,48.700000,38.671526,1,Luhansk rebels say soldier killed by Ukrainian mortar fire,UCDP GED v25.1
2022-01-20,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,2,OSCE Special Monitoring Mission to Ukraine (SMM) Daily Report 14/2022 issued on 21 January 2022,UCDP GED v25.1
2022-01-28,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Volodymyrivka village,Donetsk,48.663243,38.196713,1,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities between 22 and 28 January 2022;Kalins'kyj Eduard Mykolajovych,UCDP GED v25.1
2022-01-28,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Volodymyrivka village,Donetsk,48.663243,38.196713,1,Kalins'kyj Eduard Mykolajovych,UCDP GED v25.1
2022-01-31,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,2,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities between 29 January and 04 February 2022,UCDP GED v25.1
2022-02-01,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,1,Ljubychenko Vadym Viktorovych,UCDP GED v25.1
2022-02-04,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Shpil'chyn Serhij Anatolijovych,UCDP GED v25.1
2022-02-06,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Yasynuvata raion,Verkhnotoretske town,Donetsk,48.223333,37.871944,1,DPR servicemen killed in sniper fire by Ukrainian troops at contact line in Donbass,UCDP GED v25.1
2022-02-13,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Volnovakha raion,Hranitne town (Myrne hromada),Donetsk,47.456256,37.865033,1,Reuts'kyj Vitalij Oleksandrovych,UCDP GED v25.1
2022-02-13,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Ivashchenko Serhij Anatolijovych,UCDP GED v25.1
2022-02-15,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,1,Arsiyevych Serhij Oleksijovych,UCDP GED v25.1
2022-02-15,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Popasna raion,Golubivske village,Luhansk,48.690674,38.640518,1,"Ukraine accused of killing rebel, three truce breaches",UCDP GED v25.1
2022-02-16,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Kamyanka village,Kharkiv,49.121944,37.292500,1,No. 22/205234-ep,UCDP GED v25.1
2022-02-18,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,9,The overview of the current social and humanitarian situation in the territory of the Donetsk People`s Republic as a result of hostilities in the period from 19 and 25 February 2022,UCDP GED v25.1
2022-02-19,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Myronivskyi village,Donetsk,48.460622,38.272652,1,"Ukraine soldier killed in clashes near Russia border;UPDATE 2-Ukraine reports two soldiers killed in separatists shelling;Two Ukrainian servicemen killed, four injured in Donbass - ministry;@EuromaidanPress",UCDP GED v25.1
2022-02-19,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Pokrovsk raion,Pisky village,Donetsk,48.066930,37.666420,1,"Ukraine soldier killed in clashes near Russia border;UPDATE 2-Ukraine reports two soldiers killed in separatists shelling;Two Ukrainian servicemen killed, four injured in Donbass - ministry;@EuromaidanPress",UCDP GED v25.1
2022-02-20,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Stanychno-Luhansk raion,Pioners'ke village,Luhansk,48.572975,39.577325,0,Two civilians in Lugansk dead in attempted attack by Ukraine’s Armed Forces,UCDP GED v25.1
2022-02-21,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Donetsk City municipality,Donetsk town,Donetsk,48.000000,37.805278,0,"Ukrainian military’s shelling kills civilian, militia member - DPR",UCDP GED v25.1
2022-02-21,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Bakhmut raion,Novoluhanske village,Donetsk,48.426310,38.171074,1,Ukrainian civilian killed in frontline shelling: officials,UCDP GED v25.1
2022-02-21,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Horlivka City municipality,Zaitseve village,Donetsk,48.419550,38.032433,2,"Two Ukraine soldiers, civilian killed in shelling;Ukraine reports two soldiers killed, 12 wounded in separatist shelling;@EuromaidanPress;@EuromaidanPress;Daily Review 2022-02-24 - In memoriam - Ukrainian soldier Oleksandr Stelmakh was killed in enemy shelling near Zaitseve",UCDP GED v25.1
2022-02-22,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Volnovakha raion,Novotroitske town,Donetsk,47.717091,37.573761,1,"Ukrainian serviceman killed in east over past 24 hours , six soldiers injured - JFO;A sergeant from the Vinnytsia region was killed during shelling in eastern Ukraine;Slivka Ihor Ivanovych",UCDP GED v25.1
2022-02-22,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,,Luhansk oblast,Luhansk,48.920000,39.020000,1,"Ukraine soldier killed, six wounded in war-torn east;Ukraine says one soldier killed, 6 wounded in separatist shelling",UCDP GED v25.1
2022-02-23,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Mariupol raion,Nikol's'ke town,Mariupol,47.205330,37.321390,1,Skyrta Oleksij Anatolijovych,UCDP GED v25.1
2022-02-23,2022,Battles,State-based armed conflict,Government of Ukraine,DPR,Donetsk oblast,Volnovakha raion,Bohdanivka village,Donetsk,47.628227,37.756441,1,"In the JFO zone for the current day, the invaders carried out 75 attacks, one defender was killed , three were injured;Russian mercenaries fired on OS positions 59 times, one defender was killed , one was wounded",UCDP GED v25.1
2022-02-23,2022,Battles,State-based armed conflict,Government of Ukraine,LPR,Luhansk oblast,Popasna raion,Kalinovo village,Luhansk,48.560000,38.510000,1,LPR soldier killed in shelling by Ukrainian forces - LPR mission,UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kharkiv oblast,Izyum raion,Kamyanka village,Kharkiv,49.121944,37.292500,3,"Kharkiv region: there is not a single surviving house in Kamyanets, the police find the bodies of the dead in the basements",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,30,"Exhumation in the forest near Izyum is being completed, but three more mass grave sites have been discovered",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Donetsk oblast,Kramatorsk raion,Svyatohirsk village,Donetsk,49.037516,37.568266,2,"South: Russians destroy their own munitions, bridges and crossings to slow down UAF attacks;As a result of the shelling of the Russian Federation in the Donetsk region , a civilian was killed , seven more were injured",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kherson oblast,Kakhovka raion,Kakhovka Hydroelectric Power Plant,Kherson,46.775878,33.372055,5,"Возле Новой Каховки россияне расстреляли семью с детьми, самому младшему было полтора месяца",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kherson oblast,Beryslav raion,Beryslav town,Kherson,46.842916,33.432214,1,"In the Kherson region, two facts of the execution of civilian cars by the invaders were established",UCDP GED v25.1
2022-02-24,2022,Violence against civilians,One-sided violence,Government of Russia (Soviet Union),Civilians,Kherson oblast,,Kherson oblast,Kherson,46.640600,32.615890,63,Bodies of 991 civilians found in liberated territories of four regions - police,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Zaporizhzhia raion,Zaporizhzhia town,Zaporizhia,47.841260,35.121166,1,"Missile attack on Zaporozhye: a high-rise building burned down, there are dead and wounded",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Skadovsk raion,Kalanchak town,Kherson,46.253349,33.293286,4,MilitaryLand.net @Militarylandnet,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,808,"Russian shelling kills at least 1,000 people in Izyum;Ukraine: Unlawful Russian Attacks in Kharkiv",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Izyum raion,Izyum town,Kharkiv,49.209749,37.265663,0,"Ukraine war: Mass exhumations at Izyum forest graves site;Russian Federation leaves behind only death and suffering: Zelensky showed mass burials in Izyum;During the first day of exhumation, the bodies of 17 Ukrainian soldiers and 22 civilians were found in Izyum;In Izyum, 427 dead have already been exhumed at the mass grave site;Exhumation in the forest near Izyum is being completed, but three more mass grave sites have been discovered;Exhumation in the forest near Izyum completed - 447 bodies ",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Bohdanivka village,Donetsk,47.628227,37.756441,2,Butenko Anton Petrovych;Butenko Andrij,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Buhas village,Donetsk,47.636900,37.562180,1,Sarbash Jurij Mykytovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Pokrovsk raion,Marinka town,Donetsk,47.941669,37.504218,1,Pol'ohkyj Serhij Vitalijovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Volnovakha raion,Volnovakha town,Donetsk,47.595000,37.482500,1,Kazemir Artem Volodymyrovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,9,Konjayev Andrij Leonidovych;Zaporozhtsev Andrij Mykolajovych;Monastyrs'kyj Oleksandr Mykolajovych;Lishchuk Vasyl' Viktorovych;Rakovs'kyj Yevhen Vitalijovych;Bondarenko Mykola Petrovych;Yevpak Vitalij Oleksandrovych;Skrypaj Vladyslav Olehovych;Bondarets' Viktor Viktorovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,,Kharkiv oblast,Kharkiv,49.500000,36.500000,97,Russian invaders have already killed 860 civilians in Kharkiv region - police,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Polohy raion,Orikhiv village,Zaporizhia,47.563928,35.785136,11,The occupiers destroyed the music school in Orekhovo,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Melitopol raion,Melitopol airport,Zaporizhia,46.876869,35.307480,1,A Ukrainian City Under a Violent New Regime,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Bohodukhiv raion,Zolochiv village,Kharkiv,50.272064,35.980068,15,"In a village in the Kharkiv region, the enemy used shells on parachutes",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,,Kharkiv oblast,Kharkiv,49.500000,36.500000,113,760 people have already died in Kharkiv and the region due to constant enemy attacks - UCP,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,DPR controlled territory,Donetsk,47.920000,38.280000,0,Ukraine update: Russian soldiers reported 'missing in action' actually piled high in 'body dump',UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Derhachi village,Kharkiv,50.108463,36.115225,0,"In Cossack Lopan in the Kharkiv region, the invaders created a dungeon in the basement of the station - the head of the community",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Bohodukhiv raion,Zolochiv village,Kharkiv,50.272064,35.980068,2,"In the Zolochiv community in Kharkiv region , 22 people have already died , about 60 injured - chairman",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Luhansk oblast,Severodonetsk raion,Popasna town,Luhansk,48.633333,38.380000,185,It is impossible to count the number of dead civilians in Luhansk region - Gaidai,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Horlivka raion,Horlivka town,Donetsk,48.300000,38.050000,2,Ukrainian troops shelled Gorlovka more than 1.8 thousand times in two months - mayor,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Bohodukhiv raion,Zolochiv village,Kharkiv,50.272064,35.980068,7,"Russian troops shelled Zolochiv in Kharkiv region, 15 houses damaged - prosecutor's office",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Kherson raion,Kherson town,Kherson,46.636950,32.614580,96,About 300 people died in Kherson since February 24 - mayor,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Mariupol town,Mariupol,47.095833,37.549444,5717,"Over 10,000 civilians killed in Mariupol - mayor (clarified);Actions of the Russian Federation in Mariupol fall under the definition of ""genocide"" - Denisova",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,,Kharkiv oblast,Kharkiv,49.500000,36.500000,49,The invaders deported to Russia from the occupied territories of the Kharkov region about a thousand people - OVA,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Bohodukhiv raion,Zolochiv village,Kharkiv,50.272064,35.980068,3,"The Russians again fired on Zolochev in the Kharkiv region, there are dead and wounded",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,,Kharkiv oblast,Kharkiv,49.500000,36.500000,11,327 people have died in Kharkiv region since the beginning of the war - police,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Kharkiv town,Kharkiv,49.980810,36.252720,1,"Pictures: In Battle For Hostomel, Ukraine Drove Back Russia’s Attack Helicopters And Elite Paratroopers",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,,Donetsk oblast,Donetsk,48.140000,37.740000,0,Russian occupants have killed 52 and wounded 267 civilians in Donetsk region since the beginning of the invasion - Kirilenko,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,,Kharkiv oblast,Kharkiv,49.500000,36.500000,33,Nearly 190 people died in Kharkiv region during Russian aggression;Ukraine: Unlawful Russian Attacks in Kharkiv,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Zaporizhzhya oblast,Zaporizhzhia raion,Zaporizhzhia town,Zaporizhia,47.841260,35.121166,1,"In Zaporozhye, a serviceman from Berdyansk died in a hospital",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,,Kherson oblast,Kherson,46.640600,32.615890,16,На Херсонщине госпитализировано почти сотню раненых бойцов,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Henichesk raion,Ivanivka town,Kherson,46.716389,34.550278,1,На данный момент известно о трех погибших пограничниках – ГПСУ,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Mariupol raion,Pokrovske village,Mariupol,47.049560,37.466530,1,"In Pokrovsky, Donetsk region, as of the morning of February 25, three people died , one more - in Mariupol",UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Donetsk oblast,Bakhmut raion,Chasiv Yar town,Donetsk,48.593480,37.857240,2,В Госспецсвязи назвали свои потери в первый день войны;Kamza Oleh Andrijovych,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kherson oblast,Henichesk raion,Henichesk bridge,Kherson,46.160374,34.795320,1,Sailor Vitaly Skakun blew up the Genic bridge with himself to stop the enemy - General Staff,UCDP GED v25.1
2022-02-24,2022,Battles,State-based armed conflict,Government of Russia (Soviet Union),Government of Ukraine,Kharkiv oblast,Kharkiv raion,Kharkiv town,Kharkiv,49.980810,36.252720,3,Prosecutor's office qualifies Russian war crimes in Ukrainian cities as sabotage and terrorist attacks - Venediktova;Russian commander declared suspicion for ordering to open fire on civilian vehicles in Kharkov,UCDP GED v25.1
